,2017-11-06 00:00:00,2017-11-13 00:00:00,2017-11-20 00:00:00,2017-11-27 00:00:00,2017-12-04 00:00:00,2017-12-11 00:00:00,2017-12-18 00:00:00,2017-12-25 00:00:00,2018-01-01 00:00:00,2018-01-08 00:00:00,2018-01-15 00:00:00,2018-01-22 00:00:00,2018-01-29 00:00:00,2018-02-05 00:00:00,2018-02-12 00:00:00,2018-02-19 00:00:00,2018-02-26 00:00:00,2018-03-05 00:00:00,2018-03-12 00:00:00,2018-03-19 00:00:00,2018-03-26 00:00:00,2018-04-02 00:00:00,2018-04-09 00:00:00,2018-04-16 00:00:00,2018-04-23 00:00:00,2018-04-30 00:00:00,total
nonsupersymmetric,24.0,25,29.0,30.0,33.0,32.0,35.0,37.0,36.0,33.0,33.0,31.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,29.0,29.0,29.0,29.0,22.0,48
kleingordon,24.0,23,24.0,22.0,23.0,24.0,24.0,25.0,25.0,24.0,25.0,25.0,25.0,28.0,27.0,27.0,27.0,26.0,26.0,25.0,24.0,25.0,23.0,23.0,23.0,22.0,48
diffeomorphism,19.0,18,18.0,20.0,20.0,20.0,23.0,26.0,25.0,26.0,25.0,27.0,27.0,27.0,31.0,31.0,32.0,33.0,32.0,30.0,26.0,28.0,28.0,28.0,28.0,28.0,47
gravitino,26.0,26,23.0,22.0,24.0,22.0,22.0,23.0,22.0,22.0,20.0,20.0,20.0,20.0,26.0,23.0,23.0,22.0,19.0,18.0,16.0,16.0,16.0,15.0,19.0,19.0,47
yangbaxter,27.0,27,26.0,26.0,27.0,28.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,16.0,19.0,21.0,22.0,26.0,23.0,23.0,23.0,21.0,20.0,47
dc,24.0,27,30.0,30.0,29.0,29.0,29.0,29.0,29.0,28.0,29.0,29.0,30.0,31.0,31.0,28.0,25.0,24.0,23.0,23.0,24.0,24.0,25.0,23.0,22.0,22.0,47
eigenstates,21.0,21,21.0,22.0,19.0,21.0,21.0,24.0,25.0,26.0,26.0,26.0,21.0,22.0,24.0,22.0,24.0,24.0,25.0,27.0,26.0,25.0,24.0,19.0,20.0,22.0,46
euler,18.0,18,17.0,18.0,21.0,21.0,21.0,22.0,25.0,27.0,25.0,26.0,24.0,25.0,24.0,25.0,25.0,24.0,25.0,29.0,30.0,29.0,29.0,28.0,28.0,28.0,46
poisson,14.0,17,16.0,16.0,16.0,16.0,15.0,18.0,18.0,17.0,18.0,17.0,18.0,18.0,18.0,22.0,22.0,22.0,21.0,22.0,24.0,26.0,26.0,31.0,30.0,32.0,46
nongaussianity,19.0,20,20.0,18.0,16.0,15.0,15.0,19.0,26.0,26.0,26.0,26.0,26.0,28.0,27.0,29.0,27.0,27.0,27.0,27.0,22.0,22.0,22.0,22.0,27.0,27.0,46
hermitian,19.0,21,21.0,22.0,23.0,23.0,21.0,19.0,19.0,18.0,22.0,22.0,23.0,24.0,25.0,23.0,23.0,23.0,22.0,26.0,29.0,29.0,28.0,26.0,24.0,24.0,46
worldvolume,26.0,24,16.0,18.0,18.0,20.0,20.0,20.0,21.0,21.0,21.0,16.0,16.0,19.0,17.0,17.0,19.0,21.0,20.0,20.0,23.0,22.0,21.0,21.0,21.0,20.0,46
resummation,13.0,15,15.0,14.0,12.0,17.0,17.0,19.0,19.0,19.0,22.0,22.0,22.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,34.0,33.0,33.0,45
skyrme,15.0,16,16.0,18.0,20.0,19.0,20.0,22.0,22.0,22.0,20.0,23.0,22.0,23.0,25.0,25.0,26.0,26.0,26.0,29.0,29.0,33.0,31.0,26.0,27.0,27.0,45
superalgebras,22.0,21,21.0,21.0,21.0,22.0,22.0,25.0,27.0,21.0,21.0,21.0,23.0,23.0,23.0,28.0,31.0,31.0,31.0,31.0,30.0,31.0,34.0,25.0,24.0,23.0,45
higherdimensional,24.0,23,20.0,19.0,18.0,19.0,18.0,20.0,22.0,23.0,23.0,23.0,22.0,21.0,22.0,21.0,21.0,23.0,24.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,45
soliton,20.0,22,19.0,19.0,19.0,18.0,16.0,18.0,18.0,19.0,16.0,15.0,15.0,17.0,20.0,20.0,20.0,20.0,22.0,23.0,24.0,24.0,26.0,26.0,24.0,23.0,45
tensortoscalar,24.0,22,20.0,22.0,22.0,21.0,22.0,21.0,20.0,20.0,19.0,17.0,17.0,17.0,19.0,20.0,20.0,22.0,22.0,22.0,22.0,21.0,20.0,20.0,20.0,18.0,45
highenergy,17.0,16,17.0,17.0,19.0,20.0,19.0,22.0,18.0,18.0,21.0,20.0,20.0,22.0,22.0,22.0,23.0,23.0,23.0,21.0,23.0,23.0,23.0,23.0,26.0,27.0,44
stressenergy,31.0,32,32.0,32.0,32.0,31.0,31.0,32.0,32.0,30.0,30.0,28.0,28.0,32.0,29.0,30.0,28.0,29.0,28.0,25.0,25.0,25.0,23.0,24.0,18.0,13.0,44
bhs,13.0,13,13.0,13.0,13.0,13.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,19.0,18.0,17.0,15.0,20.0,20.0,20.0,29.0,29.0,31.0,44
ligo,18.0,19,19.0,18.0,21.0,23.0,22.0,23.0,23.0,23.0,23.0,21.0,21.0,20.0,20.0,21.0,21.0,21.0,22.0,21.0,21.0,24.0,24.0,27.0,26.0,26.0,44
teleparallel,20.0,19,19.0,19.0,22.0,21.0,19.0,19.0,18.0,16.0,16.0,16.0,18.0,23.0,23.0,23.0,22.0,20.0,20.0,20.0,22.0,22.0,18.0,18.0,20.0,21.0,44
ds,19.0,20,18.0,19.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,17.0,18.0,20.0,20.0,22.0,23.0,22.0,22.0,23.0,21.0,21.0,21.0,22.0,43
entropic,18.0,19,19.0,19.0,16.0,22.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,18.0,14.0,19.0,19.0,19.0,23.0,23.0,20.0,22.0,23.0,24.0,43
pbh,25.0,25,20.0,18.0,23.0,27.0,27.0,27.0,26.0,26.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,15.0,15.0,16.0,16.0,16.0,13.0,13.0,18.0,43
byproduct,25.0,25,21.0,20.0,23.0,22.0,22.0,21.0,19.0,17.0,18.0,18.0,18.0,20.0,18.0,17.0,17.0,15.0,16.0,19.0,20.0,19.0,19.0,19.0,18.0,18.0,43
redshift,30.0,29,29.0,30.0,31.0,30.0,30.0,32.0,32.0,31.0,31.0,28.0,27.0,22.0,23.0,23.0,24.0,24.0,23.0,22.0,15.0,13.0,13.0,17.0,15.0,14.0,43
andor,22.0,20,23.0,24.0,24.0,25.0,23.0,24.0,25.0,25.0,25.0,21.0,22.0,23.0,23.0,24.0,24.0,23.0,23.0,23.0,23.0,22.0,22.0,22.0,21.0,19.0,43
mathrm,17.0,19,33.0,33.0,33.0,31.0,31.0,32.0,32.0,36.0,32.0,31.0,31.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,32.0,32.0,28.0,28.0,26.0,26.0,43
hypermultiplets,13.0,13,13.0,12.0,15.0,18.0,19.0,20.0,18.0,19.0,18.0,18.0,19.0,19.0,19.0,23.0,23.0,27.0,27.0,26.0,26.0,26.0,23.0,25.0,28.0,26.0,42
wigner,21.0,22,26.0,25.0,29.0,29.0,29.0,30.0,28.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,26.0,26.0,24.0,24.0,22.0,23.0,23.0,23.0,21.0,42
braneworld,22.0,20,19.0,22.0,22.0,23.0,22.0,21.0,22.0,22.0,19.0,17.0,17.0,18.0,20.0,22.0,23.0,23.0,25.0,21.0,22.0,22.0,24.0,21.0,20.0,20.0,42
kk,9.0,10,13.0,13.0,13.0,13.0,12.0,12.0,16.0,16.0,17.0,15.0,17.0,17.0,15.0,19.0,23.0,23.0,23.0,23.0,23.0,29.0,35.0,33.0,33.0,33.0,42
tachyon,22.0,20,20.0,20.0,19.0,19.0,23.0,23.0,21.0,21.0,22.0,19.0,20.0,19.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,23.0,22.0,20.0,20.0,20.0,42
doubletrace,18.0,19,20.0,20.0,22.0,21.0,21.0,21.0,18.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0,24.0,24.0,19.0,19.0,19.0,16.0,17.0,17.0,17.0,20.0,41
rindler,20.0,20,17.0,17.0,17.0,21.0,21.0,20.0,20.0,19.0,19.0,17.0,18.0,19.0,18.0,17.0,17.0,17.0,15.0,13.0,10.0,10.0,9.0,10.0,13.0,20.0,41
bekensteinhawking,21.0,21,19.0,19.0,21.0,20.0,20.0,21.0,22.0,23.0,19.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,22.0,21.0,19.0,18.0,16.0,16.0,18.0,18.0,41
nearhorizon,16.0,16,16.0,16.0,15.0,14.0,13.0,13.0,14.0,12.0,12.0,12.0,13.0,14.0,16.0,16.0,17.0,17.0,19.0,20.0,20.0,23.0,24.0,27.0,27.0,26.0,41
pion,23.0,26,22.0,24.0,23.0,24.0,22.0,22.0,22.0,24.0,24.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0,23.0,21.0,21.0,22.0,21.0,21.0,20.0,18.0,41
bms,23.0,25,19.0,19.0,18.0,18.0,19.0,18.0,18.0,16.0,16.0,16.0,17.0,18.0,18.0,15.0,16.0,15.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,41
sl,24.0,24,25.0,22.0,22.0,23.0,26.0,28.0,28.0,28.0,31.0,31.0,31.0,29.0,28.0,27.0,27.0,26.0,26.0,26.0,26.0,25.0,24.0,22.0,21.0,17.0,41
equivariant,20.0,20,20.0,20.0,20.0,18.0,19.0,25.0,24.0,24.0,24.0,26.0,25.0,26.0,27.0,26.0,26.0,24.0,26.0,24.0,24.0,25.0,25.0,25.0,25.0,20.0,40
abjm,15.0,17,17.0,17.0,22.0,23.0,23.0,23.0,26.0,26.0,25.0,25.0,25.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,21.0,22.0,22.0,22.0,22.0,40
dbrane,25.0,26,25.0,28.0,26.0,26.0,26.0,26.0,28.0,28.0,28.0,25.0,24.0,24.0,23.0,23.0,22.0,21.0,21.0,21.0,19.0,19.0,21.0,19.0,15.0,15.0,39
gaugegravity,18.0,17,18.0,20.0,20.0,21.0,20.0,20.0,22.0,21.0,21.0,19.0,19.0,19.0,20.0,20.0,21.0,20.0,19.0,19.0,18.0,20.0,23.0,23.0,22.0,21.0,39
orbifolds,27.0,22,21.0,19.0,18.0,18.0,19.0,17.0,17.0,16.0,17.0,17.0,17.0,15.0,15.0,13.0,13.0,14.0,14.0,14.0,13.0,14.0,14.0,16.0,16.0,12.0,39
dbranes,23.0,23,19.0,21.0,19.0,18.0,18.0,16.0,19.0,19.0,19.0,18.0,19.0,19.0,18.0,19.0,22.0,23.0,20.0,20.0,21.0,19.0,19.0,22.0,16.0,16.0,39
ghostfree,18.0,18,15.0,17.0,16.0,15.0,15.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,11.0,10.0,10.0,10.0,8.0,8.0,11.0,11.0,17.0,16.0,20.0,38
bimetric,18.0,18,15.0,15.0,14.0,14.0,14.0,13.0,15.0,15.0,15.0,16.0,17.0,17.0,16.0,15.0,14.0,13.0,13.0,13.0,13.0,17.0,18.0,22.0,19.0,20.0,38
supersymmetries,22.0,23,25.0,28.0,24.0,22.0,23.0,29.0,29.0,29.0,28.0,25.0,25.0,25.0,24.0,24.0,24.0,23.0,22.0,21.0,22.0,22.0,22.0,19.0,17.0,16.0,38
dm,25.0,22,22.0,22.0,22.0,22.0,22.0,22.0,17.0,17.0,17.0,17.0,17.0,10.0,14.0,13.0,13.0,21.0,20.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,38
microstates,15.0,15,12.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,14.0,16.0,18.0,18.0,16.0,16.0,16.0,19.0,19.0,18.0,20.0,20.0,20.0,24.0,37
baryogenesis,16.0,16,19.0,21.0,20.0,20.0,20.0,21.0,19.0,19.0,19.0,18.0,16.0,16.0,22.0,21.0,21.0,18.0,18.0,18.0,20.0,20.0,20.0,19.0,20.0,22.0,37
sachdevyekitaev,21.0,18,19.0,20.0,19.0,18.0,19.0,17.0,18.0,18.0,18.0,20.0,20.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,17.0,16.0,16.0,16.0,16.0,16.0,37
tev,21.0,21,22.0,22.0,22.0,23.0,23.0,23.0,23.0,22.0,21.0,19.0,19.0,19.0,19.0,20.0,20.0,21.0,21.0,19.0,20.0,19.0,17.0,15.0,15.0,15.0,37
seibergwitten,16.0,17,17.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,16.0,14.0,14.0,14.0,14.0,16.0,15.0,14.0,14.0,14.0,15.0,19.0,22.0,21.0,21.0,37
dirichlet,14.0,14,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,17.0,16.0,15.0,16.0,16.0,23.0,24.0,22.0,24.0,25.0,27.0,26.0,25.0,25.0,23.0,23.0,37
deconfinement,22.0,21,20.0,20.0,19.0,16.0,16.0,15.0,15.0,15.0,14.0,13.0,12.0,12.0,13.0,12.0,10.0,10.0,10.0,9.0,9.0,9.0,12.0,13.0,12.0,13.0,36
boltzmann,20.0,20,19.0,18.0,18.0,20.0,17.0,19.0,19.0,20.0,19.0,18.0,18.0,15.0,15.0,14.0,15.0,14.0,12.0,12.0,12.0,12.0,12.0,15.0,15.0,15.0,36
wavelength,18.0,20,19.0,19.0,20.0,22.0,21.0,20.0,21.0,22.0,21.0,20.0,21.0,17.0,15.0,15.0,14.0,15.0,15.0,15.0,14.0,15.0,16.0,16.0,17.0,18.0,36
polyakov,14.0,14,13.0,15.0,16.0,15.0,15.0,18.0,19.0,19.0,19.0,19.0,20.0,19.0,19.0,18.0,18.0,20.0,20.0,18.0,20.0,20.0,19.0,21.0,21.0,18.0,36
polylogarithms,15.0,14,13.0,12.0,12.0,11.0,11.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,13.0,13.0,12.0,17.0,18.0,19.0,19.0,20.0,35
rsymmetry,18.0,18,20.0,20.0,19.0,16.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,14.0,14.0,15.0,16.0,15.0,14.0,15.0,35
finitedimensional,15.0,14,12.0,13.0,13.0,13.0,14.0,15.0,14.0,14.0,15.0,16.0,16.0,19.0,19.0,18.0,18.0,16.0,15.0,17.0,19.0,19.0,19.0,19.0,19.0,20.0,35
von,14.0,15,16.0,16.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,20.0,21.0,23.0,24.0,26.0,26.0,26.0,25.0,23.0,23.0,23.0,23.0,23.0,35
timereversal,18.0,20,19.0,20.0,20.0,23.0,23.0,26.0,23.0,23.0,21.0,20.0,20.0,20.0,21.0,21.0,23.0,23.0,22.0,21.0,18.0,19.0,18.0,18.0,18.0,18.0,35
chern,16.0,17,16.0,16.0,16.0,17.0,15.0,16.0,19.0,18.0,18.0,17.0,17.0,17.0,17.0,16.0,18.0,19.0,20.0,22.0,21.0,21.0,20.0,20.0,20.0,19.0,35
longrange,25.0,25,24.0,23.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,21.0,20.0,15.0,17.0,17.0,14.0,14.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,35
wesszumino,11.0,11,11.0,12.0,12.0,13.0,17.0,16.0,14.0,14.0,14.0,13.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,14.0,14.0,18.0,19.0,20.0,24.0,34
baryons,14.0,14,16.0,16.0,13.0,13.0,12.0,15.0,15.0,15.0,15.0,10.0,12.0,12.0,12.0,12.0,13.0,12.0,11.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,34
superradiant,15.0,16,15.0,15.0,15.0,18.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,21.0,22.0,22.0,23.0,22.0,21.0,21.0,20.0,20.0,20.0,20.0,17.0,18.0,33
kacmoody,16.0,15,15.0,17.0,18.0,19.0,18.0,19.0,18.0,12.0,12.0,15.0,15.0,15.0,15.0,16.0,13.0,14.0,13.0,13.0,13.0,12.0,13.0,13.0,14.0,16.0,33
quasiparticles,20.0,20,20.0,20.0,18.0,18.0,17.0,18.0,15.0,16.0,15.0,14.0,13.0,14.0,15.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,14.0,14.0,11.0,12.0,33
superyangmills,15.0,15,18.0,19.0,20.0,20.0,20.0,23.0,22.0,20.0,20.0,19.0,19.0,19.0,21.0,21.0,20.0,20.0,20.0,17.0,17.0,18.0,18.0,20.0,19.0,20.0,33
ev,18.0,17,18.0,18.0,18.0,18.0,17.0,12.0,12.0,10.0,10.0,10.0,10.0,13.0,12.0,17.0,17.0,17.0,17.0,15.0,13.0,13.0,13.0,13.0,14.0,14.0,33
lhc,19.0,20,19.0,18.0,18.0,18.0,18.0,19.0,19.0,17.0,15.0,15.0,13.0,15.0,16.0,17.0,18.0,18.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0,15.0,33
dyonic,23.0,21,21.0,21.0,20.0,20.0,20.0,20.0,20.0,18.0,18.0,14.0,14.0,14.0,15.0,15.0,15.0,13.0,14.0,14.0,14.0,14.0,9.0,10.0,10.0,9.0,33
scft,6.0,6,12.0,12.0,12.0,14.0,16.0,17.0,17.0,18.0,23.0,23.0,23.0,23.0,23.0,25.0,26.0,27.0,29.0,29.0,29.0,29.0,29.0,29.0,27.0,27.0,33
quarkgluon,19.0,21,22.0,23.0,20.0,16.0,16.0,14.0,14.0,13.0,13.0,12.0,11.0,11.0,10.0,11.0,10.0,11.0,12.0,12.0,12.0,13.0,13.0,12.0,12.0,12.0,32
bispectrum,11.0,14,15.0,12.0,13.0,14.0,12.0,14.0,15.0,15.0,15.0,15.0,17.0,17.0,16.0,16.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,21.0,21.0,32
nexttoleading,22.0,21,21.0,20.0,18.0,18.0,18.0,19.0,16.0,16.0,16.0,16.0,13.0,15.0,13.0,12.0,13.0,14.0,13.0,14.0,14.0,15.0,15.0,15.0,13.0,11.0,32
worldline,14.0,15,15.0,17.0,16.0,18.0,21.0,24.0,24.0,24.0,24.0,23.0,21.0,21.0,22.0,23.0,23.0,22.0,23.0,21.0,23.0,23.0,23.0,21.0,20.0,18.0,32
bv,19.0,19,19.0,22.0,23.0,23.0,23.0,23.0,20.0,20.0,20.0,19.0,17.0,17.0,17.0,23.0,23.0,24.0,24.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,32
wavefunctions,14.0,14,16.0,16.0,15.0,17.0,15.0,15.0,16.0,18.0,19.0,17.0,16.0,18.0,19.0,18.0,16.0,16.0,18.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0,32
baryonic,13.0,14,14.0,14.0,15.0,15.0,15.0,13.0,18.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,15.0,15.0,15.0,15.0,15.0,17.0,18.0,31
ryutakayanagi,8.0,7,6.0,5.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,15.0,17.0,21.0,22.0,22.0,21.0,21.0,21.0,22.0,31
quasiparticle,12.0,14,14.0,13.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,15.0,19.0,18.0,18.0,18.0,19.0,19.0,17.0,16.0,16.0,16.0,17.0,17.0,19.0,19.0,31
der,21.0,23,20.0,20.0,21.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,18.0,19.0,19.0,18.0,18.0,17.0,14.0,13.0,13.0,13.0,13.0,14.0,15.0,10.0,31
cauchy,15.0,15,15.0,13.0,10.0,10.0,11.0,11.0,9.0,13.0,14.0,14.0,16.0,18.0,17.0,18.0,18.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,31
nonfermi,21.0,17,14.0,14.0,15.0,15.0,13.0,14.0,14.0,14.0,14.0,17.0,17.0,16.0,17.0,15.0,16.0,16.0,16.0,16.0,13.0,13.0,12.0,12.0,10.0,10.0,31
etc,9.0,11,11.0,11.0,10.0,9.0,12.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,15.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,20.0,30
boseeinstein,19.0,19,19.0,18.0,17.0,17.0,16.0,17.0,16.0,15.0,15.0,16.0,15.0,13.0,14.0,13.0,14.0,14.0,14.0,15.0,13.0,13.0,13.0,13.0,15.0,11.0,30
hypermultiplet,11.0,13,13.0,14.0,18.0,15.0,15.0,13.0,18.0,18.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,18.0,19.0,20.0,21.0,19.0,30
realisation,12.0,14,15.0,15.0,17.0,17.0,18.0,18.0,17.0,19.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,19.0,18.0,19.0,20.0,19.0,22.0,22.0,22.0,21.0,30
stronger,18.0,17,18.0,16.0,16.0,17.0,19.0,18.0,18.0,17.0,16.0,16.0,14.0,14.0,16.0,17.0,17.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0,12.0,30
aforementioned,16.0,16,17.0,17.0,16.0,17.0,17.0,16.0,16.0,16.0,16.0,14.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,14.0,30
sqcd,7.0,7,7.0,7.0,11.0,10.0,9.0,15.0,17.0,18.0,16.0,18.0,18.0,18.0,18.0,19.0,19.0,22.0,22.0,22.0,22.0,24.0,26.0,24.0,24.0,24.0,30
adimensional,15.0,15,14.0,14.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,12.0,13.0,12.0,13.0,13.0,13.0,13.0,30
hyperscaling,15.0,14,15.0,15.0,20.0,21.0,21.0,21.0,24.0,23.0,24.0,24.0,21.0,19.0,19.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,30
rr,17.0,17,17.0,15.0,16.0,15.0,15.0,19.0,14.0,14.0,14.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,12.0,29
friedmann,15.0,16,16.0,15.0,15.0,13.0,11.0,9.0,11.0,11.0,12.0,11.0,13.0,13.0,14.0,14.0,13.0,14.0,14.0,14.0,13.0,13.0,13.0,14.0,13.0,14.0,29
hopf,12.0,16,16.0,16.0,15.0,17.0,17.0,18.0,18.0,18.0,19.0,17.0,18.0,20.0,20.0,21.0,19.0,19.0,18.0,18.0,18.0,16.0,17.0,17.0,17.0,17.0,29
fock,10.0,12,11.0,11.0,10.0,12.0,12.0,14.0,13.0,13.0,14.0,14.0,17.0,18.0,16.0,14.0,14.0,15.0,16.0,15.0,18.0,18.0,18.0,18.0,17.0,20.0,29
bogoliubov,11.0,13,14.0,13.0,13.0,13.0,14.0,16.0,15.0,15.0,15.0,13.0,21.0,18.0,17.0,17.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,17.0,18.0,18.0,29
skyrmions,16.0,16,16.0,19.0,17.0,17.0,18.0,20.0,20.0,20.0,18.0,16.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,16.0,15.0,16.0,15.0,13.0,12.0,12.0,29
righthanded,14.0,15,14.0,13.0,15.0,17.0,16.0,16.0,15.0,14.0,15.0,14.0,15.0,16.0,17.0,17.0,17.0,16.0,16.0,16.0,18.0,17.0,18.0,17.0,18.0,18.0,29
sduality,17.0,18,20.0,22.0,22.0,22.0,21.0,16.0,16.0,16.0,17.0,17.0,17.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,12.0,11.0,29
otoc,13.0,13,13.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,8.0,8.0,8.0,8.0,9.0,13.0,15.0,15.0,15.0,17.0,16.0,29
supermultiplets,17.0,17,15.0,15.0,18.0,19.0,19.0,19.0,17.0,16.0,17.0,16.0,16.0,16.0,16.0,15.0,14.0,14.0,12.0,12.0,12.0,12.0,13.0,13.0,12.0,12.0,29
frw,8.0,8,11.0,11.0,12.0,17.0,15.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,17.0,16.0,17.0,17.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,19.0,29
dft,11.0,14,14.0,12.0,12.0,12.0,12.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18.0,18.0,18.0,18.0,20.0,22.0,18.0,18.0,18.0,18.0,29
characterised,9.0,11,11.0,14.0,14.0,14.0,14.0,14.0,15.0,13.0,13.0,13.0,14.0,14.0,14.0,15.0,17.0,17.0,16.0,16.0,16.0,16.0,17.0,18.0,17.0,17.0,28
gribov,10.0,10,10.0,12.0,12.0,11.0,9.0,9.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,11.0,11.0,11.0,11.0,14.0,14.0,15.0,15.0,18.0,28
reissnernordstrom,11.0,11,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,15.0,15.0,15.0,16.0,16.0,17.0,16.0,15.0,16.0,17.0,16.0,17.0,28
desitter,16.0,16,15.0,15.0,20.0,20.0,18.0,17.0,18.0,18.0,19.0,19.0,18.0,16.0,15.0,15.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,10.0,10.0,12.0,28
sqrt,11.0,9,11.0,12.0,11.0,10.0,11.0,11.0,11.0,15.0,15.0,14.0,16.0,17.0,17.0,17.0,17.0,17.0,16.0,17.0,19.0,19.0,19.0,20.0,17.0,18.0,28
renormalizability,13.0,15,16.0,14.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,16.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,12.0,12.0,13.0,14.0,15.0,28
hadron,9.0,9,10.0,11.0,13.0,13.0,13.0,12.0,14.0,16.0,17.0,17.0,18.0,21.0,21.0,22.0,23.0,21.0,22.0,22.0,21.0,19.0,19.0,20.0,20.0,20.0,28
bao,10.0,9,9.0,9.0,9.0,9.0,9.0,13.0,16.0,13.0,14.0,13.0,14.0,11.0,11.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,17.0,28
wkb,11.0,12,12.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,13.0,14.0,14.0,13.0,13.0,14.0,18.0,19.0,19.0,17.0,17.0,17.0,28
isospin,9.0,11,11.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,10.0,10.0,11.0,12.0,12.0,14.0,14.0,18.0,18.0,19.0,22.0,23.0,22.0,19.0,28
cs,13.0,14,16.0,16.0,16.0,16.0,16.0,16.0,13.0,13.0,13.0,13.0,13.0,10.0,12.0,13.0,18.0,18.0,18.0,18.0,19.0,19.0,17.0,15.0,15.0,15.0,28
constantroll,18.0,18,18.0,18.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,23.0,23.0,23.0,22.0,16.0,16.0,16.0,13.0,13.0,13.0,12.0,10.0,28
threeloop,9.0,8,7.0,7.0,7.0,7.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,12.0,12.0,12.0,13.0,11.0,11.0,16.0,27
